"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT","IDX2015","M","1979-09",39.74239,
"AUT","CPI","TOT","IDX2015","M","1979-10",39.9412,
"AUT","CPI","TOT","IDX2015","M","1979-11",40.12013,
"AUT","CPI","TOT","IDX2015","M","1979-12",40.33883,
"AUT","CPI","TOT","IDX2015","M","1980-01",40.81597,
"AUT","CPI","TOT","IDX2015","M","1980-02",41.17383,
"AUT","CPI","TOT","IDX2015","M","1980-03",41.313,
"AUT","CPI","TOT","IDX2015","M","1980-04",41.49193,
"AUT","CPI","TOT","IDX2015","M","1980-05",41.69074,
"AUT","CPI","TOT","IDX2015","M","1980-06",42.14801,
"AUT","CPI","TOT","IDX2015","M","1980-07",42.32694,
"AUT","CPI","TOT","IDX2015","M","1980-08",42.60527,
"AUT","CPI","TOT","IDX2015","M","1980-09",42.50587,
"AUT","CPI","TOT","IDX2015","M","1980-10",42.64504,
"AUT","CPI","TOT","IDX2015","M","1980-11",42.66492,
"AUT","CPI","TOT","IDX2015","M","1980-12",43.02278,
"AUT","CPI","TOT","IDX2015","M","1981-01",43.67886,
"AUT","CPI","TOT","IDX2015","M","1981-02",43.93731,
"AUT","CPI","TOT","IDX2015","M","1981-03",44.27529,
"AUT","CPI","TOT","IDX2015","M","1981-04",44.55363,
"AUT","CPI","TOT","IDX2015","M","1981-05",44.51386,
"AUT","CPI","TOT","IDX2015","M","1981-06",44.7922,
"AUT","CPI","TOT","IDX2015","M","1981-07",45.07054,
"AUT","CPI","TOT","IDX2015","M","1981-08",45.32899,
"AUT","CPI","TOT","IDX2015","M","1981-09",45.4284,
"AUT","CPI","TOT","IDX2015","M","1981-10",45.70673,
"AUT","CPI","TOT","IDX2015","M","1981-11",45.64709,
"AUT","CPI","TOT","IDX2015","M","1981-12",45.78626,
"AUT","CPI","TOT","IDX2015","M","1982-01",46.36281,
"AUT","CPI","TOT","IDX2015","M","1982-02",46.54174,
"AUT","CPI","TOT","IDX2015","M","1982-03",46.91948,
"AUT","CPI","TOT","IDX2015","M","1982-04",47.13818,
"AUT","CPI","TOT","IDX2015","M","1982-05",47.2177,
"AUT","CPI","TOT","IDX2015","M","1982-06",47.45627,
"AUT","CPI","TOT","IDX2015","M","1982-07",47.55568,
"AUT","CPI","TOT","IDX2015","M","1982-08",47.6352,
"AUT","CPI","TOT","IDX2015","M","1982-09",47.65508,
"AUT","CPI","TOT","IDX2015","M","1982-10",47.79425,
"AUT","CPI","TOT","IDX2015","M","1982-11",47.79425,
"AUT","CPI","TOT","IDX2015","M","1982-12",47.93342,
"AUT","CPI","TOT","IDX2015","M","1983-01",48.25152,
"AUT","CPI","TOT","IDX2015","M","1983-02",48.47021,
"AUT","CPI","TOT","IDX2015","M","1983-03",48.56961,
"AUT","CPI","TOT","IDX2015","M","1983-04",48.52985,
"AUT","CPI","TOT","IDX2015","M","1983-05",48.39069,
"AUT","CPI","TOT","IDX2015","M","1983-06",48.62926,
"AUT","CPI","TOT","IDX2015","M","1983-07",48.88771,
"AUT","CPI","TOT","IDX2015","M","1983-08",49.16605,
"AUT","CPI","TOT","IDX2015","M","1983-09",49.22569,
"AUT","CPI","TOT","IDX2015","M","1983-10",49.50403,
"AUT","CPI","TOT","IDX2015","M","1983-11",49.58355,
"AUT","CPI","TOT","IDX2015","M","1983-12",49.76249,
"AUT","CPI","TOT","IDX2015","M","1984-01",50.97523,
"AUT","CPI","TOT","IDX2015","M","1984-02",51.21381,
"AUT","CPI","TOT","IDX2015","M","1984-03",51.39274,
"AUT","CPI","TOT","IDX2015","M","1984-04",51.39274,
"AUT","CPI","TOT","IDX2015","M","1984-05",51.25357,
"AUT","CPI","TOT","IDX2015","M","1984-06",51.71083,
"AUT","CPI","TOT","IDX2015","M","1984-07",51.61143,
"AUT","CPI","TOT","IDX2015","M","1984-08",52.08858,
"AUT","CPI","TOT","IDX2015","M","1984-09",51.98917,
"AUT","CPI","TOT","IDX2015","M","1984-10",52.08858,
"AUT","CPI","TOT","IDX2015","M","1984-11",52.22775,
"AUT","CPI","TOT","IDX2015","M","1984-12",52.26751,
"AUT","CPI","TOT","IDX2015","M","1985-01",52.68501,
"AUT","CPI","TOT","IDX2015","M","1985-02",52.96335,
"AUT","CPI","TOT","IDX2015","M","1985-03",53.24168,
"AUT","CPI","TOT","IDX2015","M","1985-04",53.34109,
"AUT","CPI","TOT","IDX2015","M","1985-05",53.20192,
"AUT","CPI","TOT","IDX2015","M","1985-06",53.38085,
"AUT","CPI","TOT","IDX2015","M","1985-07",53.42061,
"AUT","CPI","TOT","IDX2015","M","1985-08",53.46038,
"AUT","CPI","TOT","IDX2015","M","1985-09",53.48026,
"AUT","CPI","TOT","IDX2015","M","1985-10",53.48026,
"AUT","CPI","TOT","IDX2015","M","1985-11",53.59954,
"AUT","CPI","TOT","IDX2015","M","1985-12",53.73871,
"AUT","CPI","TOT","IDX2015","M","1986-01",54.21586,
"AUT","CPI","TOT","IDX2015","M","1986-02",54.29538,
"AUT","CPI","TOT","IDX2015","M","1986-03",54.19598,
"AUT","CPI","TOT","IDX2015","M","1986-04",54.07669,
"AUT","CPI","TOT","IDX2015","M","1986-05",54.01705,
"AUT","CPI","TOT","IDX2015","M","1986-06",54.19598,
"AUT","CPI","TOT","IDX2015","M","1986-07",54.21586,
"AUT","CPI","TOT","IDX2015","M","1986-08",54.35503,
"AUT","CPI","TOT","IDX2015","M","1986-09",54.39479,
"AUT","CPI","TOT","IDX2015","M","1986-10",54.35503,
"AUT","CPI","TOT","IDX2015","M","1986-11",54.25562,
"AUT","CPI","TOT","IDX2015","M","1986-12",54.33515,
"AUT","CPI","TOT","IDX2015","M","1987-01",54.39479,
"AUT","CPI","TOT","IDX2015","M","1987-02",54.33515,
"AUT","CPI","TOT","IDX2015","M","1987-03",54.45443,
"AUT","CPI","TOT","IDX2015","M","1987-04",54.55384,
"AUT","CPI","TOT","IDX2015","M","1987-05",54.73277,
"AUT","CPI","TOT","IDX2015","M","1987-06",55.20992,
"AUT","CPI","TOT","IDX2015","M","1987-07",55.48825,
"AUT","CPI","TOT","IDX2015","M","1987-08",55.7467,
"AUT","CPI","TOT","IDX2015","M","1987-09",55.42861,
"AUT","CPI","TOT","IDX2015","M","1987-10",55.3292,
"AUT","CPI","TOT","IDX2015","M","1987-11",55.15027,
"AUT","CPI","TOT","IDX2015","M","1987-12",55.20992,
"AUT","CPI","TOT","IDX2015","M","1988-01",55.42861,
