"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","1980-Q1",0.886148,
"KOR","QGDP","TOT","PC_CHGPP","Q","1980-Q2",-0.539531,
"KOR","QGDP","TOT","PC_CHGPP","Q","1980-Q3",1.892978,
"KOR","QGDP","TOT","PC_CHGPP","Q","1980-Q4",-2.765762,
"KOR","QGDP","TOT","PC_CHGPP","Q","1981-Q1",4.115112,
"KOR","QGDP","TOT","PC_CHGPP","Q","1981-Q2",2.415543,
"KOR","QGDP","TOT","PC_CHGPP","Q","1981-Q3",4.16281,
"KOR","QGDP","TOT","PC_CHGPP","Q","1981-Q4",1.568788,
"KOR","QGDP","TOT","PC_CHGPP","Q","1982-Q1",0.678619,
"KOR","QGDP","TOT","PC_CHGPP","Q","1982-Q2",2.348345,
"KOR","QGDP","TOT","PC_CHGPP","Q","1982-Q3",2.074006,
"KOR","QGDP","TOT","PC_CHGPP","Q","1982-Q4",3.146902,
"KOR","QGDP","TOT","PC_CHGPP","Q","1983-Q1",4.430468,
"KOR","QGDP","TOT","PC_CHGPP","Q","1983-Q2",3.0877,
"KOR","QGDP","TOT","PC_CHGPP","Q","1983-Q3",3.713597,
"KOR","QGDP","TOT","PC_CHGPP","Q","1983-Q4",0.715888,
"KOR","QGDP","TOT","PC_CHGPP","Q","1984-Q1",4.3813,
"KOR","QGDP","TOT","PC_CHGPP","Q","1984-Q2",2.506439,
"KOR","QGDP","TOT","PC_CHGPP","Q","1984-Q3",1.363244,
"KOR","QGDP","TOT","PC_CHGPP","Q","1984-Q4",0.486024,
"KOR","QGDP","TOT","PC_CHGPP","Q","1985-Q1",2.810896,
"KOR","QGDP","TOT","PC_CHGPP","Q","1985-Q2",2.408893,
"KOR","QGDP","TOT","PC_CHGPP","Q","1985-Q3",1.137674,
"KOR","QGDP","TOT","PC_CHGPP","Q","1985-Q4",3.048657,
"KOR","QGDP","TOT","PC_CHGPP","Q","1986-Q1",1.92543,
"KOR","QGDP","TOT","PC_CHGPP","Q","1986-Q2",3.897173,
"KOR","QGDP","TOT","PC_CHGPP","Q","1986-Q3",4.317175,
"KOR","QGDP","TOT","PC_CHGPP","Q","1986-Q4",1.559826,
"KOR","QGDP","TOT","PC_CHGPP","Q","1987-Q1",3.211522,
"KOR","QGDP","TOT","PC_CHGPP","Q","1987-Q2",4.953212,
"KOR","QGDP","TOT","PC_CHGPP","Q","1987-Q3",0.975698,
"KOR","QGDP","TOT","PC_CHGPP","Q","1987-Q4",2.035329,
"KOR","QGDP","TOT","PC_CHGPP","Q","1988-Q1",7.703239,
"KOR","QGDP","TOT","PC_CHGPP","Q","1988-Q2",-2.160737,
"KOR","QGDP","TOT","PC_CHGPP","Q","1988-Q3",3.145655,
"KOR","QGDP","TOT","PC_CHGPP","Q","1988-Q4",3.254636,
"KOR","QGDP","TOT","PC_CHGPP","Q","1989-Q1",0.043278,
"KOR","QGDP","TOT","PC_CHGPP","Q","1989-Q2",1.460586,
"KOR","QGDP","TOT","PC_CHGPP","Q","1989-Q3",2.564383,
"KOR","QGDP","TOT","PC_CHGPP","Q","1989-Q4",4.129776,
"KOR","QGDP","TOT","PC_CHGPP","Q","1990-Q1",1.018551,
"KOR","QGDP","TOT","PC_CHGPP","Q","1990-Q2",2.230622,
"KOR","QGDP","TOT","PC_CHGPP","Q","1990-Q3",3.232928,
"KOR","QGDP","TOT","PC_CHGPP","Q","1990-Q4",2.033266,
"KOR","QGDP","TOT","PC_CHGPP","Q","1991-Q1",3.750176,
"KOR","QGDP","TOT","PC_CHGPP","Q","1991-Q2",1.661478,
"KOR","QGDP","TOT","PC_CHGPP","Q","1991-Q3",2.145297,
"KOR","QGDP","TOT","PC_CHGPP","Q","1991-Q4",2.503572,
"KOR","QGDP","TOT","PC_CHGPP","Q","1992-Q1",1.780393,
"KOR","QGDP","TOT","PC_CHGPP","Q","1992-Q2",0.701695,
"KOR","QGDP","TOT","PC_CHGPP","Q","1992-Q3",0.067624,
"KOR","QGDP","TOT","PC_CHGPP","Q","1992-Q4",1.560678,
"KOR","QGDP","TOT","PC_CHGPP","Q","1993-Q1",1.990658,
"KOR","QGDP","TOT","PC_CHGPP","Q","1993-Q2",2.565332,
"KOR","QGDP","TOT","PC_CHGPP","Q","1993-Q3",1.843683,
"KOR","QGDP","TOT","PC_CHGPP","Q","1993-Q4",1.913664,
"KOR","QGDP","TOT","PC_CHGPP","Q","1994-Q1",2.916856,
"KOR","QGDP","TOT","PC_CHGPP","Q","1994-Q2",1.631592,
"KOR","QGDP","TOT","PC_CHGPP","Q","1994-Q3",1.682199111,
"KOR","QGDP","TOT","PC_CHGPP","Q","1994-Q4",3.930438208,
"KOR","QGDP","TOT","PC_CHGPP","Q","1995-Q1",2.090489,
"KOR","QGDP","TOT","PC_CHGPP","Q","1995-Q2",2.021825,
"KOR","QGDP","TOT","PC_CHGPP","Q","1995-Q3",2.075873,
"KOR","QGDP","TOT","PC_CHGPP","Q","1995-Q4",1.870552,
"KOR","QGDP","TOT","PC_CHGPP","Q","1996-Q1",1.908135,
"KOR","QGDP","TOT","PC_CHGPP","Q","1996-Q2",2.020152,
"KOR","QGDP","TOT","PC_CHGPP","Q","1996-Q3",1.758931,
"KOR","QGDP","TOT","PC_CHGPP","Q","1996-Q4",1.691579,
"KOR","QGDP","TOT","PC_CHGPP","Q","1997-Q1",0.468064,
"KOR","QGDP","TOT","PC_CHGPP","Q","1997-Q2",3.550553,
"KOR","QGDP","TOT","PC_CHGPP","Q","1997-Q3",0.791744,
"KOR","QGDP","TOT","PC_CHGPP","Q","1997-Q4",-0.455994,
"KOR","QGDP","TOT","PC_CHGPP","Q","1998-Q1",-6.818022,
"KOR","QGDP","TOT","PC_CHGPP","Q","1998-Q2",-0.807932,
"KOR","QGDP","TOT","PC_CHGPP","Q","1998-Q3",1.747152,
"KOR","QGDP","TOT","PC_CHGPP","Q","1998-Q4",2.49605,
"KOR","QGDP","TOT","PC_CHGPP","Q","1999-Q1",3.034633,
"KOR","QGDP","TOT","PC_CHGPP","Q","1999-Q2",4.383165,
"KOR","QGDP","TOT","PC_CHGPP","Q","1999-Q3",2.781171,
"KOR","QGDP","TOT","PC_CHGPP","Q","1999-Q4",2.886255,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q1",1.895052,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q2",1.33251,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q3",2.754591,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q4",-0.324458,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q1",1.225555,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q2",1.298881,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q3",1.350194,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q4",1.762586,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q1",2.544482,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q2",1.812135,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q3",2.021813,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q4",1.097354,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q1",-0.65916,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q2",-0.154147,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q3",1.93267,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q4",2.63948,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q1",1.254801,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.763499,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.405586,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.757934,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.850903,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q2",1.887063,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q3",1.505331,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q4",1.012464666,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q1",1.639117138,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.730602,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q3",1.613955,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.779358,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q1",1.674044,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q2",1.730291,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q3",1.173831,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q4",2.156949,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.402395,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.523473,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q3",0.815881,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-3.283889,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q1",0.089987,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q2",1.332778,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q3",2.992675,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.746868,
