"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INDPROD","TOT","IDX2015","M","1979-12",40.05798,
"AUT","INDPROD","TOT","IDX2015","M","1980-01",37.96939,
"AUT","INDPROD","TOT","IDX2015","M","1980-02",37.75801,
"AUT","INDPROD","TOT","IDX2015","M","1980-03",39.21687,
"AUT","INDPROD","TOT","IDX2015","M","1980-04",37.95691,
"AUT","INDPROD","TOT","IDX2015","M","1980-05",37.85789,
"AUT","INDPROD","TOT","IDX2015","M","1980-06",38.31363,
"AUT","INDPROD","TOT","IDX2015","M","1980-07",37.09472,
"AUT","INDPROD","TOT","IDX2015","M","1980-08",38.12503,
"AUT","INDPROD","TOT","IDX2015","M","1980-09",36.95667,
"AUT","INDPROD","TOT","IDX2015","M","1980-10",37.60183,
"AUT","INDPROD","TOT","IDX2015","M","1980-11",37.97567,
"AUT","INDPROD","TOT","IDX2015","M","1980-12",38.63931,
"AUT","INDPROD","TOT","IDX2015","M","1981-01",36.90205,
"AUT","INDPROD","TOT","IDX2015","M","1981-02",37.73051,
"AUT","INDPROD","TOT","IDX2015","M","1981-03",37.76729,
"AUT","INDPROD","TOT","IDX2015","M","1981-04",37.54307,
"AUT","INDPROD","TOT","IDX2015","M","1981-05",37.39546,
"AUT","INDPROD","TOT","IDX2015","M","1981-06",36.92874,
"AUT","INDPROD","TOT","IDX2015","M","1981-07",36.98066,
"AUT","INDPROD","TOT","IDX2015","M","1981-08",37.09726,
"AUT","INDPROD","TOT","IDX2015","M","1981-09",37.20613,
"AUT","INDPROD","TOT","IDX2015","M","1981-10",37.4284,
"AUT","INDPROD","TOT","IDX2015","M","1981-11",37.32386,
"AUT","INDPROD","TOT","IDX2015","M","1981-12",37.43254,
"AUT","INDPROD","TOT","IDX2015","M","1982-01",38.68455,
"AUT","INDPROD","TOT","IDX2015","M","1982-02",37.88238,
"AUT","INDPROD","TOT","IDX2015","M","1982-03",37.35344,
"AUT","INDPROD","TOT","IDX2015","M","1982-04",37.17167,
"AUT","INDPROD","TOT","IDX2015","M","1982-05",37.71659,
"AUT","INDPROD","TOT","IDX2015","M","1982-06",37.18055,
"AUT","INDPROD","TOT","IDX2015","M","1982-07",37.38784,
"AUT","INDPROD","TOT","IDX2015","M","1982-08",36.63904,
"AUT","INDPROD","TOT","IDX2015","M","1982-09",36.61473,
"AUT","INDPROD","TOT","IDX2015","M","1982-10",36.62579,
"AUT","INDPROD","TOT","IDX2015","M","1982-11",36.40498,
"AUT","INDPROD","TOT","IDX2015","M","1982-12",35.63673,
"AUT","INDPROD","TOT","IDX2015","M","1983-01",36.09524,
"AUT","INDPROD","TOT","IDX2015","M","1983-02",36.63918,
"AUT","INDPROD","TOT","IDX2015","M","1983-03",36.19936,
"AUT","INDPROD","TOT","IDX2015","M","1983-04",37.58005,
"AUT","INDPROD","TOT","IDX2015","M","1983-05",37.4279,
"AUT","INDPROD","TOT","IDX2015","M","1983-06",37.4279,
"AUT","INDPROD","TOT","IDX2015","M","1983-07",39.11736,
"AUT","INDPROD","TOT","IDX2015","M","1983-08",37.47324,
"AUT","INDPROD","TOT","IDX2015","M","1983-09",37.79815,
"AUT","INDPROD","TOT","IDX2015","M","1983-10",38.37888,
"AUT","INDPROD","TOT","IDX2015","M","1983-11",37.99477,
"AUT","INDPROD","TOT","IDX2015","M","1983-12",36.81033,
"AUT","INDPROD","TOT","IDX2015","M","1984-01",38.72416,
"AUT","INDPROD","TOT","IDX2015","M","1984-02",38.41516,
"AUT","INDPROD","TOT","IDX2015","M","1984-03",38.43601,
"AUT","INDPROD","TOT","IDX2015","M","1984-04",38.61233,
"AUT","INDPROD","TOT","IDX2015","M","1984-05",38.93657,
"AUT","INDPROD","TOT","IDX2015","M","1984-06",38.9378,
"AUT","INDPROD","TOT","IDX2015","M","1984-07",38.99886,
"AUT","INDPROD","TOT","IDX2015","M","1984-08",39.40091,
"AUT","INDPROD","TOT","IDX2015","M","1984-09",41.34922,
"AUT","INDPROD","TOT","IDX2015","M","1984-10",40.02404,
"AUT","INDPROD","TOT","IDX2015","M","1984-11",38.73478,
"AUT","INDPROD","TOT","IDX2015","M","1984-12",41.47144,
"AUT","INDPROD","TOT","IDX2015","M","1985-01",41.07389,
"AUT","INDPROD","TOT","IDX2015","M","1985-02",40.49968,
"AUT","INDPROD","TOT","IDX2015","M","1985-03",40.95823,
"AUT","INDPROD","TOT","IDX2015","M","1985-04",40.28586,
"AUT","INDPROD","TOT","IDX2015","M","1985-05",40.29572,
"AUT","INDPROD","TOT","IDX2015","M","1985-06",42.27193,
"AUT","INDPROD","TOT","IDX2015","M","1985-07",41.13017,
"AUT","INDPROD","TOT","IDX2015","M","1985-08",41.84892,
"AUT","INDPROD","TOT","IDX2015","M","1985-09",42.19981,
"AUT","INDPROD","TOT","IDX2015","M","1985-10",40.72054,
"AUT","INDPROD","TOT","IDX2015","M","1985-11",42.05099,
"AUT","INDPROD","TOT","IDX2015","M","1985-12",41.14911,
"AUT","INDPROD","TOT","IDX2015","M","1986-01",41.28328,
"AUT","INDPROD","TOT","IDX2015","M","1986-02",41.94081,
"AUT","INDPROD","TOT","IDX2015","M","1986-03",42.34729,
"AUT","INDPROD","TOT","IDX2015","M","1986-04",41.68812,
"AUT","INDPROD","TOT","IDX2015","M","1986-05",41.84937,
"AUT","INDPROD","TOT","IDX2015","M","1986-06",42.1672,
"AUT","INDPROD","TOT","IDX2015","M","1986-07",41.00537,
"AUT","INDPROD","TOT","IDX2015","M","1986-08",42.06214,
"AUT","INDPROD","TOT","IDX2015","M","1986-09",41.48059,
"AUT","INDPROD","TOT","IDX2015","M","1986-10",41.3605,
"AUT","INDPROD","TOT","IDX2015","M","1986-11",40.8624,
"AUT","INDPROD","TOT","IDX2015","M","1986-12",41.64788,
"AUT","INDPROD","TOT","IDX2015","M","1987-01",40.56207,
"AUT","INDPROD","TOT","IDX2015","M","1987-02",41.51981,
"AUT","INDPROD","TOT","IDX2015","M","1987-03",41.93291,
"AUT","INDPROD","TOT","IDX2015","M","1987-04",41.81294,
"AUT","INDPROD","TOT","IDX2015","M","1987-05",42.92618,
"AUT","INDPROD","TOT","IDX2015","M","1987-06",41.88839,
"AUT","INDPROD","TOT","IDX2015","M","1987-07",41.77802,
"AUT","INDPROD","TOT","IDX2015","M","1987-08",42.4454,
"AUT","INDPROD","TOT","IDX2015","M","1987-09",41.60688,
"AUT","INDPROD","TOT","IDX2015","M","1987-10",42.5023,
"AUT","INDPROD","TOT","IDX2015","M","1987-11",42.83128,
"AUT","INDPROD","TOT","IDX2015","M","1987-12",42.6407,
"AUT","INDPROD","TOT","IDX2015","M","1988-01",43.2666,
"AUT","INDPROD","TOT","IDX2015","M","1988-02",42.57598,
"AUT","INDPROD","TOT","IDX2015","M","1988-03",42.38588,
"AUT","INDPROD","TOT","IDX2015","M","1988-04",43.65931,
"AUT","INDPROD","TOT","IDX2015","M","1988-05",43.97699,
"AUT","INDPROD","TOT","IDX2015","M","1988-06",43.32862,
"AUT","INDPROD","TOT","IDX2015","M","1988-07",45.10586,
"AUT","INDPROD","TOT","IDX2015","M","1988-08",43.94365,
"AUT","INDPROD","TOT","IDX2015","M","1988-09",44.57919,
"AUT","INDPROD","TOT","IDX2015","M","1988-10",45.15803,
"AUT","INDPROD","TOT","IDX2015","M","1988-11",45.24066,
"AUT","INDPROD","TOT","IDX2015","M","1988-12",43.2908,
"AUT","INDPROD","TOT","IDX2015","M","1989-01",45.42183,
"AUT","INDPROD","TOT","IDX2015","M","1989-02",44.97634,
"AUT","INDPROD","TOT","IDX2015","M","1989-03",44.89859,
"AUT","INDPROD","TOT","IDX2015","M","1989-04",47.37862,
"AUT","INDPROD","TOT","IDX2015","M","1989-05",45.80259,
"AUT","INDPROD","TOT","IDX2015","M","1989-06",45.55488,
"AUT","INDPROD","TOT","IDX2015","M","1989-07",47.11235,
"AUT","INDPROD","TOT","IDX2015","M","1989-08",46.24273,
"AUT","INDPROD","TOT","IDX2015","M","1989-09",46.84836,
"AUT","INDPROD","TOT","IDX2015","M","1989-10",46.85934,
"AUT","INDPROD","TOT","IDX2015","M","1989-11",47.70445,
"AUT","INDPROD","TOT","IDX2015","M","1989-12",48.82866,
"AUT","INDPROD","TOT","IDX2015","M","1990-01",48.2806,
"AUT","INDPROD","TOT","IDX2015","M","1990-02",49.63037,
"AUT","INDPROD","TOT","IDX2015","M","1990-03",49.82827,
"AUT","INDPROD","TOT","IDX2015","M","1990-04",49.3393,
"AUT","INDPROD","TOT","IDX2015","M","1990-05",48.81186,
"AUT","INDPROD","TOT","IDX2015","M","1990-06",50.67635,
"AUT","INDPROD","TOT","IDX2015","M","1990-07",49.41261,
"AUT","INDPROD","TOT","IDX2015","M","1990-08",49.38359,
"AUT","INDPROD","TOT","IDX2015","M","1990-09",50.66316,
"AUT","INDPROD","TOT","IDX2015","M","1990-10",49.92173,
"AUT","INDPROD","TOT","IDX2015","M","1990-11",49.30447,
"AUT","INDPROD","TOT","IDX2015","M","1990-12",52.06248,
"AUT","INDPROD","TOT","IDX2015","M","1991-01",50.63774,
"AUT","INDPROD","TOT","IDX2015","M","1991-02",50.68214,
"AUT","INDPROD","TOT","IDX2015","M","1991-03",50.46223,
"AUT","INDPROD","TOT","IDX2015","M","1991-04",51.10442,
"AUT","INDPROD","TOT","IDX2015","M","1991-05",50.65263,
"AUT","INDPROD","TOT","IDX2015","M","1991-06",51.14811,
"AUT","INDPROD","TOT","IDX2015","M","1991-07",50.42279,
"AUT","INDPROD","TOT","IDX2015","M","1991-08",51.24897,
"AUT","INDPROD","TOT","IDX2015","M","1991-09",50.51342,
"AUT","INDPROD","TOT","IDX2015","M","1991-10",50.11594,
"AUT","INDPROD","TOT","IDX2015","M","1991-11",50.34444,
"AUT","INDPROD","TOT","IDX2015","M","1991-12",50.78812,
"AUT","INDPROD","TOT","IDX2015","M","1992-01",50.4271,
"AUT","INDPROD","TOT","IDX2015","M","1992-02",50.32841,
"AUT","INDPROD","TOT","IDX2015","M","1992-03",50.21306,
"AUT","INDPROD","TOT","IDX2015","M","1992-04",50.86179,
"AUT","INDPROD","TOT","IDX2015","M","1992-05",52.21737,
"AUT","INDPROD","TOT","IDX2015","M","1992-06",51.3887,
"AUT","INDPROD","TOT","IDX2015","M","1992-07",49.35864,
"AUT","INDPROD","TOT","IDX2015","M","1992-08",49.61106,
"AUT","INDPROD","TOT","IDX2015","M","1992-09",49.58469,
"AUT","INDPROD","TOT","IDX2015","M","1992-10",50.30273,
"AUT","INDPROD","TOT","IDX2015","M","1992-11",49.06799,
"AUT","INDPROD","TOT","IDX2015","M","1992-12",47.31461,
"AUT","INDPROD","TOT","IDX2015","M","1993-01",49.24698,
"AUT","INDPROD","TOT","IDX2015","M","1993-02",49.28118,
"AUT","INDPROD","TOT","IDX2015","M","1993-03",49.3475,
"AUT","INDPROD","TOT","IDX2015","M","1993-04",49.18677,
"AUT","INDPROD","TOT","IDX2015","M","1993-05",49.2405,
"AUT","INDPROD","TOT","IDX2015","M","1993-06",47.83451,
"AUT","INDPROD","TOT","IDX2015","M","1993-07",48.83182,
"AUT","INDPROD","TOT","IDX2015","M","1993-08",49.31957,
"AUT","INDPROD","TOT","IDX2015","M","1993-09",49.48518,
"AUT","INDPROD","TOT","IDX2015","M","1993-10",49.9216,
"AUT","INDPROD","TOT","IDX2015","M","1993-11",49.82454,
"AUT","INDPROD","TOT","IDX2015","M","1993-12",49.12389,
"AUT","INDPROD","TOT","IDX2015","M","1994-01",49.5697,
"AUT","INDPROD","TOT","IDX2015","M","1994-02",50.64048,
"AUT","INDPROD","TOT","IDX2015","M","1994-03",49.68501,
"AUT","INDPROD","TOT","IDX2015","M","1994-04",49.18446,
"AUT","INDPROD","TOT","IDX2015","M","1994-05",52.13942,
"AUT","INDPROD","TOT","IDX2015","M","1994-06",50.78382,
"AUT","INDPROD","TOT","IDX2015","M","1994-07",51.0361,
"AUT","INDPROD","TOT","IDX2015","M","1994-08",51.01805,
"AUT","INDPROD","TOT","IDX2015","M","1994-09",50.93702,
"AUT","INDPROD","TOT","IDX2015","M","1994-10",52.86027,
"AUT","INDPROD","TOT","IDX2015","M","1994-11",52.77544,
"AUT","INDPROD","TOT","IDX2015","M","1994-12",53.12593,
"AUT","INDPROD","TOT","IDX2015","M","1995-01",54.6568,
"AUT","INDPROD","TOT","IDX2015","M","1995-02",54.51557,
"AUT","INDPROD","TOT","IDX2015","M","1995-03",51.33155,
"AUT","INDPROD","TOT","IDX2015","M","1995-04",54.47558,
"AUT","INDPROD","TOT","IDX2015","M","1995-05",54.47956,
"AUT","INDPROD","TOT","IDX2015","M","1995-06",55.16944,
"AUT","INDPROD","TOT","IDX2015","M","1995-07",54.02364,
"AUT","INDPROD","TOT","IDX2015","M","1995-08",53.64185,
"AUT","INDPROD","TOT","IDX2015","M","1995-09",53.22958,
"AUT","INDPROD","TOT","IDX2015","M","1995-10",52.32826,
"AUT","INDPROD","TOT","IDX2015","M","1995-11",53.94142,
"AUT","INDPROD","TOT","IDX2015","M","1995-12",53.72763,
"AUT","INDPROD","TOT","IDX2015","M","1996-01",52.78645,
"AUT","INDPROD","TOT","IDX2015","M","1996-02",53.7155,
"AUT","INDPROD","TOT","IDX2015","M","1996-03",53.20875,
"AUT","INDPROD","TOT","IDX2015","M","1996-04",53.12429,
"AUT","INDPROD","TOT","IDX2015","M","1996-05",53.79995,
"AUT","INDPROD","TOT","IDX2015","M","1996-06",54.30671,
