"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INDPROD","TOT","IDX2015","Q","1980-Q1",40.80039,
"AUS","INDPROD","TOT","IDX2015","Q","1980-Q2",39.94367,
"AUS","INDPROD","TOT","IDX2015","Q","1980-Q3",40.63674,
"AUS","INDPROD","TOT","IDX2015","Q","1980-Q4",41.55067,
"AUS","INDPROD","TOT","IDX2015","Q","1981-Q1",41.92481,
"AUS","INDPROD","TOT","IDX2015","Q","1981-Q2",41.57574,
"AUS","INDPROD","TOT","IDX2015","Q","1981-Q3",41.79916,
"AUS","INDPROD","TOT","IDX2015","Q","1981-Q4",42.58468,
"AUS","INDPROD","TOT","IDX2015","Q","1982-Q1",42.25315,
"AUS","INDPROD","TOT","IDX2015","Q","1982-Q2",42.98566,
"AUS","INDPROD","TOT","IDX2015","Q","1982-Q3",41.89234,
"AUS","INDPROD","TOT","IDX2015","Q","1982-Q4",39.65508,
"AUS","INDPROD","TOT","IDX2015","Q","1983-Q1",38.86357,
"AUS","INDPROD","TOT","IDX2015","Q","1983-Q2",40.24951,
"AUS","INDPROD","TOT","IDX2015","Q","1983-Q3",40.22188,
"AUS","INDPROD","TOT","IDX2015","Q","1983-Q4",40.84407,
"AUS","INDPROD","TOT","IDX2015","Q","1984-Q1",42.0798,
"AUS","INDPROD","TOT","IDX2015","Q","1984-Q2",42.2257,
"AUS","INDPROD","TOT","IDX2015","Q","1984-Q3",43.7694,
"AUS","INDPROD","TOT","IDX2015","Q","1984-Q4",42.76797,
"AUS","INDPROD","TOT","IDX2015","Q","1985-Q1",43.89496,
"AUS","INDPROD","TOT","IDX2015","Q","1985-Q2",45.57393,
"AUS","INDPROD","TOT","IDX2015","Q","1985-Q3",45.82648,
"AUS","INDPROD","TOT","IDX2015","Q","1985-Q4",45.4739,
"AUS","INDPROD","TOT","IDX2015","Q","1986-Q1",45.09341,
"AUS","INDPROD","TOT","IDX2015","Q","1986-Q2",44.31777,
"AUS","INDPROD","TOT","IDX2015","Q","1986-Q3",44.93639,
"AUS","INDPROD","TOT","IDX2015","Q","1986-Q4",44.91239,
"AUS","INDPROD","TOT","IDX2015","Q","1987-Q1",45.65181,
"AUS","INDPROD","TOT","IDX2015","Q","1987-Q2",47.32281,
"AUS","INDPROD","TOT","IDX2015","Q","1987-Q3",48.28366,
"AUS","INDPROD","TOT","IDX2015","Q","1987-Q4",50.90999,
"AUS","INDPROD","TOT","IDX2015","Q","1988-Q1",50.94243,
"AUS","INDPROD","TOT","IDX2015","Q","1988-Q2",50.85421,
