"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","LTINT","TOT","PC_PA","Q","1979-Q4",9.1,
"NLD","LTINT","TOT","PC_PA","Q","1980-Q1",10.41,
"NLD","LTINT","TOT","PC_PA","Q","1980-Q2",10.18333,
"NLD","LTINT","TOT","PC_PA","Q","1980-Q3",9.86,
"NLD","LTINT","TOT","PC_PA","Q","1980-Q4",10.38,
"NLD","LTINT","TOT","PC_PA","Q","1981-Q1",10.92333,
"NLD","LTINT","TOT","PC_PA","Q","1981-Q2",11.54,
"NLD","LTINT","TOT","PC_PA","Q","1981-Q3",11.99667,
"NLD","LTINT","TOT","PC_PA","Q","1981-Q4",11.75,
"NLD","LTINT","TOT","PC_PA","Q","1982-Q1",10.86,
"NLD","LTINT","TOT","PC_PA","Q","1982-Q2",10.28333,
"NLD","LTINT","TOT","PC_PA","Q","1982-Q3",10.24,
"NLD","LTINT","TOT","PC_PA","Q","1982-Q4",9.006667,
"NLD","LTINT","TOT","PC_PA","Q","1983-Q1",8.07,
"NLD","LTINT","TOT","PC_PA","Q","1983-Q2",8.843333,
"NLD","LTINT","TOT","PC_PA","Q","1983-Q3",8.97,
"NLD","LTINT","TOT","PC_PA","Q","1983-Q4",8.56,
"NLD","LTINT","TOT","PC_PA","Q","1984-Q1",8.51,
"NLD","LTINT","TOT","PC_PA","Q","1984-Q2",8.55,
"NLD","LTINT","TOT","PC_PA","Q","1984-Q3",8.483334,
"NLD","LTINT","TOT","PC_PA","Q","1984-Q4",7.77,
"NLD","LTINT","TOT","PC_PA","Q","1985-Q1",7.763333,
"NLD","LTINT","TOT","PC_PA","Q","1985-Q2",7.53,
"NLD","LTINT","TOT","PC_PA","Q","1985-Q3",7.016667,
"NLD","LTINT","TOT","PC_PA","Q","1985-Q4",7,
"NLD","LTINT","TOT","PC_PA","Q","1986-Q1",6.696667,
"NLD","LTINT","TOT","PC_PA","Q","1986-Q2",6.256667,
"NLD","LTINT","TOT","PC_PA","Q","1986-Q3",6.093333,
"NLD","LTINT","TOT","PC_PA","Q","1986-Q4",6.223333,
"NLD","LTINT","TOT","PC_PA","Q","1987-Q1",6.18,
"NLD","LTINT","TOT","PC_PA","Q","1987-Q2",6.153333,
"NLD","LTINT","TOT","PC_PA","Q","1987-Q3",6.64,
"NLD","LTINT","TOT","PC_PA","Q","1987-Q4",6.636667,
"NLD","LTINT","TOT","PC_PA","Q","1988-Q1",6.233333,
"NLD","LTINT","TOT","PC_PA","Q","1988-Q2",6.393333,
"NLD","LTINT","TOT","PC_PA","Q","1988-Q3",6.66,
"NLD","LTINT","TOT","PC_PA","Q","1988-Q4",6.376667,
"NLD","LTINT","TOT","PC_PA","Q","1989-Q1",6.91,
"NLD","LTINT","TOT","PC_PA","Q","1989-Q2",7.22,
"NLD","LTINT","TOT","PC_PA","Q","1989-Q3",7.11,
"NLD","LTINT","TOT","PC_PA","Q","1989-Q4",7.633333,
"NLD","LTINT","TOT","PC_PA","Q","1990-Q1",8.66,
"NLD","LTINT","TOT","PC_PA","Q","1990-Q2",8.933333,
"NLD","LTINT","TOT","PC_PA","Q","1990-Q3",8.963333,
"NLD","LTINT","TOT","PC_PA","Q","1990-Q4",9.126667,
"NLD","LTINT","TOT","PC_PA","Q","1991-Q1",8.816667,
"NLD","LTINT","TOT","PC_PA","Q","1991-Q2",8.6,
"NLD","LTINT","TOT","PC_PA","Q","1991-Q3",8.81,
"NLD","LTINT","TOT","PC_PA","Q","1991-Q4",8.73,
"NLD","LTINT","TOT","PC_PA","Q","1992-Q1",8.333333,
"NLD","LTINT","TOT","PC_PA","Q","1992-Q2",8.31,
"NLD","LTINT","TOT","PC_PA","Q","1992-Q3",8.246667,
"NLD","LTINT","TOT","PC_PA","Q","1992-Q4",7.52,
"NLD","LTINT","TOT","PC_PA","Q","1993-Q1",6.852334,
"NLD","LTINT","TOT","PC_PA","Q","1993-Q2",6.618667,
"NLD","LTINT","TOT","PC_PA","Q","1993-Q3",6.194334,
"NLD","LTINT","TOT","PC_PA","Q","1993-Q4",5.771,
"NLD","LTINT","TOT","PC_PA","Q","1994-Q1",5.920667,
"NLD","LTINT","TOT","PC_PA","Q","1994-Q2",6.803,
"NLD","LTINT","TOT","PC_PA","Q","1994-Q3",7.171333,
"NLD","LTINT","TOT","PC_PA","Q","1994-Q4",7.558,
"NLD","LTINT","TOT","PC_PA","Q","1995-Q1",7.556,
"NLD","LTINT","TOT","PC_PA","Q","1995-Q2",6.973333,
"NLD","LTINT","TOT","PC_PA","Q","1995-Q3",6.724667,
"NLD","LTINT","TOT","PC_PA","Q","1995-Q4",6.344666,
"NLD","LTINT","TOT","PC_PA","Q","1996-Q1",6.176333,
"NLD","LTINT","TOT","PC_PA","Q","1996-Q2",6.386333,
"NLD","LTINT","TOT","PC_PA","Q","1996-Q3",6.251333,
"NLD","LTINT","TOT","PC_PA","Q","1996-Q4",5.785666,
"NLD","LTINT","TOT","PC_PA","Q","1997-Q1",5.589334,
"NLD","LTINT","TOT","PC_PA","Q","1997-Q2",5.704667,
"NLD","LTINT","TOT","PC_PA","Q","1997-Q3",5.548666,
"NLD","LTINT","TOT","PC_PA","Q","1997-Q4",5.466,
"NLD","LTINT","TOT","PC_PA","Q","1998-Q1",5.007333,
"NLD","LTINT","TOT","PC_PA","Q","1998-Q2",4.929667,
"NLD","LTINT","TOT","PC_PA","Q","1998-Q3",4.496,
"NLD","LTINT","TOT","PC_PA","Q","1998-Q4",4.093667,
"NLD","LTINT","TOT","PC_PA","Q","1999-Q1",3.957333,
"NLD","LTINT","TOT","PC_PA","Q","1999-Q2",4.233667,
"NLD","LTINT","TOT","PC_PA","Q","1999-Q3",5.022,
"NLD","LTINT","TOT","PC_PA","Q","1999-Q4",5.301,
"NLD","LTINT","TOT","PC_PA","Q","2000-Q1",5.6,
"NLD","LTINT","TOT","PC_PA","Q","2000-Q2",5.397,
